Zaman,Musteri_ID,Duygu
01:03:27,1,NEUTRAL
01:03:27,1,NEUTRAL
01:03:27,1,NEUTRAL
01:03:27,1,NEUTRAL
01:03:27,1,NEUTRAL
01:03:27,1,NEUTRAL
01:03:27,1,NEUTRAL
01:03:27,1,NEUTRAL
01:03:27,1,SAD
01:03:28,1,SAD
01:03:28,1,SAD
01:03:28,1,SAD
01:03:28,1,NEUTRAL
01:03:28,1,NEUTRAL
01:03:28,1,NEUTRAL
01:03:28,1,NEUTRAL
01:03:28,1,SAD
01:03:28,1,SAD
01:03:28,1,NEUTRAL
01:03:29,1,SAD
01:03:29,1,SAD
01:03:29,1,NEUTRAL
01:03:29,1,SAD
01:03:29,1,SAD
01:03:29,1,SAD
01:03:29,1,SAD
01:03:29,1,SAD
01:03:29,1,SAD
01:03:29,1,NEUTRAL
01:03:30,1,NEUTRAL
01:03:30,1,NEUTRAL
01:03:30,1,NEUTRAL
01:03:30,1,NEUTRAL
01:03:30,1,FEAR
01:03:34,4,FEAR
01:03:34,4,FEAR
01:03:34,4,NEUTRAL
01:03:34,4,SAD
01:03:34,5,NEUTRAL
01:03:34,4,NEUTRAL
01:03:34,5,NEUTRAL
01:03:34,4,NEUTRAL
01:03:34,5,NEUTRAL
01:03:34,4,NEUTRAL
01:03:34,5,NEUTRAL
01:03:35,4,NEUTRAL
01:03:35,5,NEUTRAL
01:03:35,4,NEUTRAL
01:03:35,5,NEUTRAL
01:03:35,4,FEAR
01:03:35,5,NEUTRAL
01:03:35,4,NEUTRAL
01:03:35,5,NEUTRAL
01:03:35,4,NEUTRAL
01:03:35,5,NEUTRAL
01:03:35,4,SAD
01:03:35,5,NEUTRAL
01:03:35,4,FEAR
01:03:35,5,FEAR
01:03:35,4,NEUTRAL
01:03:36,5,FEAR
01:03:36,4,NEUTRAL
01:03:36,5,SAD
01:03:36,4,NEUTRAL
01:03:36,5,FEAR
01:03:36,4,NEUTRAL
01:03:36,5,FEAR
01:03:36,4,NEUTRAL
01:03:36,5,FEAR
01:03:36,4,NEUTRAL
01:03:36,5,NEUTRAL
01:03:36,4,NEUTRAL
01:03:36,5,NEUTRAL
01:03:36,4,NEUTRAL
01:03:37,5,NEUTRAL
01:03:37,4,NEUTRAL
01:03:37,5,NEUTRAL
01:03:37,4,NEUTRAL
01:03:37,5,NEUTRAL
01:03:37,4,NEUTRAL
01:03:37,5,FEAR
01:03:37,4,NEUTRAL
01:03:37,5,FEAR
01:03:37,4,FEAR
01:03:37,5,FEAR
01:03:37,4,FEAR
01:03:37,5,NEUTRAL
01:03:38,5,FEAR
01:03:38,5,FEAR
01:03:38,5,NEUTRAL
01:03:44,7,FEAR
01:03:44,7,FEAR
01:03:44,7,SAD
01:03:44,7,SAD
01:03:44,9,NEUTRAL
01:03:44,7,SAD
01:03:44,9,NEUTRAL
01:03:44,7,SAD
01:03:44,9,NEUTRAL
01:03:44,7,FEAR
01:03:44,9,NEUTRAL
01:03:44,10,NEUTRAL
01:03:45,7,FEAR
01:03:45,9,NEUTRAL
01:03:45,7,SAD
01:03:45,9,NEUTRAL
01:03:45,10,SAD
01:03:45,7,FEAR
01:03:45,9,NEUTRAL
01:03:45,10,SAD
01:03:45,7,SAD
01:03:45,9,NEUTRAL
01:03:45,10,SAD
01:03:45,7,SAD
01:03:45,9,NEUTRAL
01:03:45,10,SAD
01:03:45,7,SAD
01:03:45,9,NEUTRAL
01:03:45,10,NEUTRAL
01:03:45,7,SAD
01:03:45,9,NEUTRAL
01:03:45,10,SAD
01:03:45,7,SAD
01:03:45,9,NEUTRAL
01:03:45,10,SAD
01:03:45,7,SAD
01:03:46,9,NEUTRAL
01:03:46,10,SAD
01:03:46,7,SAD
01:03:46,9,NEUTRAL
01:03:46,10,SAD
01:03:46,7,SAD
01:03:46,9,NEUTRAL
01:03:46,10,SAD
01:03:46,7,SAD
01:03:46,9,NEUTRAL
01:03:46,10,SAD
01:03:46,7,SAD
01:03:46,9,NEUTRAL
01:03:46,10,SAD
01:03:46,7,SAD
01:03:46,9,SAD
01:03:46,10,SAD
01:03:46,7,SAD
01:03:47,9,NEUTRAL
01:03:47,10,FEAR
01:03:47,7,SAD
01:03:47,9,NEUTRAL
01:03:47,10,FEAR
01:03:47,7,SAD
01:03:47,9,FEAR
01:03:47,7,SAD
01:03:47,9,NEUTRAL
01:03:47,7,SAD
01:03:47,9,NEUTRAL
01:03:47,7,SAD
01:03:47,9,FEAR
01:03:47,7,SAD
01:03:47,9,HAPPY
01:03:48,9,HAPPY
